72;MICHAEL VALGREN;37;EF EDUCATION - EASYPOST;79h 37' 33'';+ 03h 37' 01''
73;OLIVER NAESEN;155;DECATHLON AG2R LA MONDIALE TEAM;79h 40' 00'';+ 03h 39' 28''
74;NELSON DOS SANTOS SIMOES OLIVEIRA;144;MOVISTAR TEAM;79h 41' 35'';+ 03h 41' 03''
75;NILS POLITT;4;UAE TEAM EMIRATES XRG;79h 45' 17'';+ 03h 44' 45''
76;ANDERS HALLAND JOHANNESSEN;226;UNO-X MOBILITY;79h 46' 34'';+ 03h 46' 02''
77;BASTIEN TRONCHON;158;DECATHLON AG2R LA MONDIALE TEAM;79h 47' 08'';+ 03h 46' 36''
78;MARC HIRSCHI;114;TUDOR PRO CYCLING TEAM;79h 49' 09'';+ 03h 48' 37''
79;LENNY MARTINEZ;55;BAHRAIN VICTORIOUS;79h 49' 37'';+ 03h 49' 05''
80;MIKE TEUNISSEN;177;XDS ASTANA TEAM;79h 50' 00'';+ 03h 49' 28''
81;ALEX ARANBURU DEVA;162;COFIDIS;79h 50' 01'';+ 03h 49' 29''
82;LOUIS BARRE;42;INTERMARCHÉ - WANTY;79h 52' 06'';+ 03h 51' 34''
83;MARIUS MAYRHOFER;116;TUDOR PRO CYCLING TEAM;79h 53' 50'';+ 03h 53' 18''
84;BRENT VAN MOER;218;LOTTO;79h 53' 51'';+ 03h 53' 19''
85;CLÉMENT CHAMPOUSSIN;174;XDS ASTANA TEAM;79h 53' 59'';+ 03h 53' 27''
86;KADEN GROVES;103;ALPECIN-DECEUNINCK;79h 54' 01'';+ 03h 53' 29''
87;PAVEL SIVAKOV;5;UAE TEAM EMIRATES XRG;79h 54' 51'';+ 03h 54' 19''
88;KRISTS NEILANDS;207;ISRAEL - PREMIER TECH;79h 54' 57'';+ 03h 54' 25''
89;LAURENCE PITHIE;75;RED BULL - BORA - HANSGROHE;79h 55' 16'';+ 03h 54' 44''
90;DYLAN TEUNS;166;COFIDIS;79h 56' 20'';+ 03h 55' 48''
91;KASPER ASGREEN;33;EF EDUCATION - EASYPOST;79h 58' 57'';+ 03h 58' 25''
92;ALEXEY LUTSENKO;206;ISRAEL - PREMIER TECH;80h 00' 24'';+ 03h 59' 52''
93;CLÉMENT RUSSO;98;GROUPAMA-FDJ;80h 02' 16'';+ 04h 01' 44''
94;DAMIEN TOUZE;168;COFIDIS;80h 02' 20'';+ 04h 01' 48''
95;TOMS SKUJINS;86;LIDL-TREK;80h 04' 48'';+ 04h 04' 16''
96;TOBIAS LUND LUND ANDRESEN;195;TEAM PICNIC POSTNL;80h 07' 23'';+ 04h 06' 51''
97;MARCO HALLER;113;TUDOR PRO CYCLING TEAM;80h 09' 56'';+ 04h 09' 24''
98;JONAS RICKAERT;105;ALPECIN-DECEUNINCK;80h 11' 49'';+ 04h 11' 17''
99;MATTEO TRENTIN;118;TUDOR PRO CYCLING TEAM;80h 13' 03'';+ 04h 12' 31''
100;MATIS LOUVEL;205;ISRAEL - PREMIER TECH;80h 13' 33'';+ 04h 13' 01''
101;MAURO SCHMID;128;TEAM JAYCO ALULA;80h 14' 32'';+ 04h 14' 00''
102;WILLIAM BARTA;142;MOVISTAR TEAM;80h 20' 39'';+ 04h 20' 07''
103;GIANNI VERMEERSCH;107;ALPECIN-DECEUNINCK;80h 23' 01'';+ 04h 22' 29''
104;ALFRED BROCKWELL WRIGHT;58;BAHRAIN VICTORIOUS;80h 23' 24'';+ 04h 22' 52''
105;GIANNI MOSCON;74;RED BULL - BORA - HANSGROHE;80h 31' 28'';+ 04h 30' 56''
106;ANTHONY TURGIS;187;TOTALENERGIES;80h 32' 30'';+ 04h 31' 58''
107;IVAN ROMEO ABAD;147;MOVISTAR TEAM;80h 34' 21'';+ 04h 33' 49''
108;THOMAS JAKE STEWART;208;ISRAEL - PREMIER TECH;80h 37' 09'';+ 04h 36' 37''
109;CONNOR SWIFT;67;INEOS GRENADIERS;80h 41' 02'';+ 04h 40' 30''
110;PABLO CASTRILLO ZAPATER;143;MOVISTAR TEAM;80h 43' 23'';+ 04h 42' 51''
111;PAUL PENHOET;97;GROUPAMA-FDJ;80h 45' 16'';+ 04h 44' 44''
112;NIKLAS MÄRKL;196;TEAM PICNIC POSTNL;80h 46' 55'';+ 04h 46' 23''
113;MICK VAN DIJKE;76;RED BULL - BORA - HANSGROHE;80h 47' 22'';+ 04h 46' 50''
114;VINCENZO ALBANESE;32;EF EDUCATION - EASYPOST;80h 48' 52'';+ 04h 48' 20''
115;SAMUEL WATSON;68;INEOS GRENADIERS;80h 50' 46'';+ 04h 50' 14''
116;THIBAU NYS;83;LIDL-TREK;80h 51' 14'';+ 04h 50' 42''
117;IVAN GARCIA CORTINA;145;MOVISTAR TEAM;80h 53' 50'';+ 04h 53' 18''
118;EDOARDO AFFINI;12;TEAM VISMA | LEASE A BIKE;80h 55' 25'';+ 04h 54' 53''
119;ALBERTO DAINESE;112;TUDOR PRO CYCLING TEAM;80h 57' 03'';+ 04h 56' 31''
120;TIM NABERMAN;197;TEAM PICNIC POSTNL;81h 00' 35'';+ 05h 00' 03''
121;LUCAS PLAPP;126;TEAM JAYCO ALULA;81h 03' 06'';+ 05h 02' 34''
122;EDUARDO SEPULVEDA;216;LOTTO;81h 03' 26'';+ 05h 02' 54''
123;ROBERT STANNARD;57;BAHRAIN VICTORIOUS;81h 04' 02'';+ 05h 03' 30''
124;MATTEO VERCHER;188;TOTALENERGIES;81h 07' 05'';+ 05h 06' 33''
125;PASCAL ACKERMANN;202;ISRAEL - PREMIER TECH;81h 10' 29'';+ 05h 09' 57''
126;MATEJ MOHORIC;56;BAHRAIN VICTORIOUS;81h 10' 45'';+ 05h 10' 13''
127;LEWIS ASKEY;92;GROUPAMA-FDJ;81h 11' 12'';+ 05h 10' 40''
128;JONAS RUTSCH;46;INTERMARCHÉ - WANTY;81h 11' 39'';+ 05h 11' 07''
129;JARRAD ERIKS DRIZNERS;214;LOTTO;81h 11' 49'';+ 05h 11' 17''
130;MAGNUS CORT NIELSEN;223;UNO-X MOBILITY;81h 12' 23'';+ 05h 11' 51''
131;SILVAN DILLIER;102;ALPECIN-DECEUNINCK;81h 14' 44'';+ 05h 14' 12''
132;BINIAM GIRMAY;41;INTERMARCHÉ - WANTY;81h 15' 27'';+ 05h 14' 55''
133;PAVEL BITTNER;193;TEAM PICNIC POSTNL;81h 18' 16'';+ 05h 17' 44''
134;SEAN FLYNN;194;TEAM PICNIC POSTNL;81h 18' 45'';+ 05h 18' 13''
135;DAVIDE BALLERINI;172;XDS ASTANA TEAM;81h 20' 54'';+ 05h 20' 22''
136;AMAURY CAPIOT;132;ARKEA-B&B HOTELS;81h 23' 10'';+ 05h 22' 38''
137;LUKE DURBRIDGE;123;TEAM JAYCO ALULA;81h 23' 53'';+ 05h 23' 21''
